id	title	cuisine	occasion	mealWeightIntent	format	prepStrategy	candidateComponents	pantryLevers
hummus-eggs	Hummus & eggs plate	Middle Eastern	breakfast	balanced	plate	no-base		
zaatar-chicken-tray	Za'atar chicken traybake	Middle Eastern	dinner	balanced	sheet-pan	no-base		
lemon-herb-fish-couscous	Lemon-herb fish & couscous	Mediterranean	dinner	light	pan	no-base		
greek-chicken-tray	Greek chicken traybake	Greek-style	dinner	balanced	sheet-pan	no-base		
halloumi-vegetable-wrap	Halloumi & vegetable wrap	Mediterranean	lunch	hearty	wrap	no-base		
spaghetti-carbonara	Spaghetti carbonara	Italian	dinner	rich	pasta	no-base		
amatriciana	Pasta all'amatriciana	Italian	dinner	hearty	pasta	mother	red	
puttanesca	Pasta puttanesca	Italian	dinner	balanced	pasta	mother	red	
aglio-olio-prawns	Aglio e olio prawns	Italian-style	dinner	hearty	pasta	booster	garlic	
chicken-parmigiana	Chicken parmigiana	Italian-American	dinner	rich	oven	mother	red	
meatballs-red-sauce	Meatballs in red sauce	Italian-American	dinner	hearty	braise	mother	red	
mushroom-risotto	Mushroom risotto	Italian	dinner	rich	risotto	hybrid	duxelles,clear	
potato-greens-frittata	Potato & greens frittata	European-style	breakfast	balanced	eggs	no-base		
chicken-fajitas	Chicken fajitas	Mexican-style	dinner	balanced	pan	no-base		
beef-tacos	Beef tacos	Mexican-style	dinner	hearty	tacos	no-base		
chicken-bean-quesadilla	Chicken & bean quesadilla	Mexican-style	lunch	rich	quesadilla	no-base		
huevos-rancheros	Huevos rancheros	Mexican	breakfast	hearty	eggs	mother	red	
black-bean-tacos	Black bean tacos	Mexican-style	dinner	balanced	tacos	no-base		
chicken-enchiladas	Chicken enchiladas	Mexican-style	dinner	rich	oven	hybrid	red,chipotle	
turkish-eggs-cilbir	Turkish eggs · çılbır	Turkish	breakfast	balanced	eggs	no-base		
ham-cheese-french-omelette	Ham & cheese French omelette	French-style	breakfast	hearty	eggs	no-base		
mushroom-spinach-omelette	Mushroom & spinach omelette	Everyday	breakfast	light	eggs	no-base		
smoked-salmon-scrambled-eggs	Smoked salmon scrambled eggs & toast	Everyday	breakfast	balanced	eggs-toast	no-base		
egg-avocado-toast	Egg & avocado toast	Everyday	breakfast	balanced	toast	no-base		
ham-cheese-toastie	Ham & cheese toastie	Everyday	lunch	hearty	sandwich	no-base		
tuna-melt	Tuna melt	Everyday	lunch	hearty	sandwich	no-base		
chicken-caesar-wrap	Chicken Caesar wrap	Everyday	lunch	balanced	wrap	no-base		
blt-egg-sandwich	BLT & egg sandwich	Everyday	lunch	hearty	sandwich	no-base		
grilled-cheese-tomato-soup	Grilled cheese & tomato soup	Everyday	lunch	rich	sandwich-soup	mother	red	
breakfast-burrito	Breakfast burrito	Everyday / Mexican-inspired	breakfast	hearty	wrap	no-base		
prawn-avocado-salad	Prawn & avocado salad	Everyday	lunch	light	salad	no-base		
roast-chicken-salad	Roast chicken salad	Everyday	lunch	light	salad	no-base		
